player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.2183, 'mob': 0.5912, 'stable': 0.0873, 'parity': 0.7423, 'pos': 0.6486}, 'medio': {'corner': 0.2417, 'mob': 0.4743, 'stable': 0.9387, 'parity': 0.6074, 'pos': 0.3779}, 'final': {'corner': 0.1532, 'mob': 0.8074, 'stable': 0.7777, 'parity': 0.013, 'pos': 0.7901}}",minimax,minimax,46,58,60
"{'apertura': {'corner': 0.6838, 'mob': 0.9386, 'stable': 0.6551, 'parity': 0.452, 'pos': 0.8634}, 'medio': {'corner': 0.3204, 'mob': 0.4126, 'stable': 0.6409, 'parity': 0.4267, 'pos': 0.0046}, 'final': {'corner': 0.5489, 'mob': 0.1931, 'stable': 0.578, 'parity': 0.0888, 'pos': 0.4755}}",minimax,minimax,49,64,60
"{'apertura': {'corner': 0.5094, 'mob': 0.5756, 'stable': 0.1264, 'parity': 0.045, 'pos': 0.8026}, 'medio': {'corner': 0.347, 'mob': 0.3746, 'stable': 0.1282, 'parity': 0.1994, 'pos': 0.6607}, 'final': {'corner': 0.7481, 'mob': 0.7337, 'stable': 0.7424, 'parity': 0.1794, 'pos': 0.6834}}",minimax,minimax,34,64,60
"{'apertura': {'corner': 0.8402, 'mob': 0.4967, 'stable': 0.3725, 'parity': 0.1003, 'pos': 0.0192}, 'medio': {'corner': 0.9306, 'mob': 0.0155, 'stable': 0.6674, 'parity': 0.0612, 'pos': 0.8442}, 'final': {'corner': 0.5368, 'mob': 0.9091, 'stable': 0.8721, 'parity': 0.0829, 'pos': 0.7052}}",minimax,minimax,37,64,61
"{'apertura': {'corner': 0.8108, 'mob': 0.1223, 'stable': 0.3807, 'parity': 0.6407, 'pos': 0.5166}, 'medio': {'corner': 0.9739, 'mob': 0.0497, 'stable': 0.6534, 'parity': 0.556, 'pos': 0.1096}, 'final': {'corner': 0.2392, 'mob': 0.8756, 'stable': 0.5216, 'parity': 0.8491, 'pos': 0.5005}}",minimax,minimax,50,60,63
"{'apertura': {'corner': 0.655, 'mob': 0.0631, 'stable': 0.4635, 'parity': 0.2507, 'pos': 0.937}, 'medio': {'corner': 0.7454, 'mob': 0.3417, 'stable': 0.7764, 'parity': 0.351, 'pos': 0.9835}, 'final': {'corner': 0.3247, 'mob': 0.2543, 'stable': 0.0169, 'parity': 0.1175, 'pos': 0.5722}}",minimax,"{'apertura': {'corner': 0.655, 'mob': 0.0631, 'stable': 0.4635, 'parity': 0.2507, 'pos': 0.937}, 'medio': {'corner': 0.7454, 'mob': 0.3417, 'stable': 0.7764, 'parity': 0.351, 'pos': 0.9835}, 'final': {'corner': 0.3247, 'mob': 0.2543, 'stable': 0.0169, 'parity': 0.1175, 'pos': 0.5722}}",51,62,59
"{'apertura': {'corner': 0.55, 'mob': 0.9891, 'stable': 0.5574, 'parity': 0.0797, 'pos': 0.6529}, 'medio': {'corner': 0.068, 'mob': 0.6898, 'stable': 0.9454, 'parity': 0.9164, 'pos': 0.1081}, 'final': {'corner': 0.4801, 'mob': 0.0406, 'stable': 0.2272, 'parity': 0.3541, 'pos': 0.5966}}",minimax,minimax,46,64,63
"{'apertura': {'corner': 0.1917, 'mob': 0.6076, 'stable': 0.2986, 'parity': 0.5297, 'pos': 0.2726}, 'medio': {'corner': 0.7026, 'mob': 0.6971, 'stable': 0.2158, 'parity': 0.6362, 'pos': 0.2659}, 'final': {'corner': 0.6359, 'mob': 0.012, 'stable': 0.7539, 'parity': 0.0124, 'pos': 0.7513}}",minimax,minimax,56,62,60
"{'apertura': {'corner': 0.8369, 'mob': 0.2141, 'stable': 0.4918, 'parity': 0.0522, 'pos': 0.5375}, 'medio': {'corner': 0.7466, 'mob': 0.4789, 'stable': 0.0489, 'parity': 0.0527, 'pos': 0.9295}, 'final': {'corner': 0.7616, 'mob': 0.023, 'stable': 0.1983, 'parity': 0.7184, 'pos': 0.4073}}",minimax,minimax,52,64,61
"{'apertura': {'corner': 0.3248, 'mob': 0.9051, 'stable': 0.6112, 'parity': 0.3061, 'pos': 0.531}, 'medio': {'corner': 0.4489, 'mob': 0.2673, 'stable': 0.3771, 'parity': 0.5614, 'pos': 0.3155}, 'final': {'corner': 0.4515, 'mob': 0.8617, 'stable': 0.3946, 'parity': 0.91, 'pos': 0.3436}}",minimax,minimax,37,64,60
"{'apertura': {'corner': 0.4035, 'mob': 0.8962, 'stable': 0.6586, 'parity': 0.0362, 'pos': 0.8228}, 'medio': {'corner': 0.8347, 'mob': 0.2292, 'stable': 0.5304, 'parity': 0.763, 'pos': 0.183}, 'final': {'corner': 0.8272, 'mob': 0.7165, 'stable': 0.5042, 'parity': 0.099, 'pos': 0.4138}}",minimax,minimax,52,63,63
"{'apertura': {'corner': 0.1903, 'mob': 0.2609, 'stable': 0.2503, 'parity': 0.1235, 'pos': 0.2426}, 'medio': {'corner': 0.7086, 'mob': 0.2335, 'stable': 0.1148, 'parity': 0.7523, 'pos': 0.2115}, 'final': {'corner': 0.7755, 'mob': 0.6941, 'stable': 0.5576, 'parity': 0.0319, 'pos': 0.1839}}",minimax,"{'apertura': {'corner': 0.1903, 'mob': 0.2609, 'stable': 0.2503, 'parity': 0.1235, 'pos': 0.2426}, 'medio': {'corner': 0.7086, 'mob': 0.2335, 'stable': 0.1148, 'parity': 0.7523, 'pos': 0.2115}, 'final': {'corner': 0.7755, 'mob': 0.6941, 'stable': 0.5576, 'parity': 0.0319, 'pos': 0.1839}}",38,62,59
"{'apertura': {'corner': 0.0405, 'mob': 0.7847, 'stable': 0.9775, 'parity': 0.5004, 'pos': 0.8925}, 'medio': {'corner': 0.7695, 'mob': 0.3271, 'stable': 0.6067, 'parity': 0.9551, 'pos': 0.2586}, 'final': {'corner': 0.6507, 'mob': 0.6661, 'stable': 0.7108, 'parity': 0.7948, 'pos': 0.5375}}",minimax,minimax,47,64,63
"{'apertura': {'corner': 0.2861, 'mob': 0.8161, 'stable': 0.1449, 'parity': 0.3381, 'pos': 0.5714}, 'medio': {'corner': 0.7572, 'mob': 0.6956, 'stable': 0.6319, 'parity': 0.3366, 'pos': 0.4771}, 'final': {'corner': 0.327, 'mob': 0.0148, 'stable': 0.4504, 'parity': 0.2236, 'pos': 0.2255}}",minimax,minimax,49,64,60
"{'apertura': {'corner': 0.8105, 'mob': 0.5257, 'stable': 0.1163, 'parity': 0.7762, 'pos': 0.5171}, 'medio': {'corner': 0.2847, 'mob': 0.6614, 'stable': 0.5069, 'parity': 0.5425, 'pos': 0.947}, 'final': {'corner': 0.3202, 'mob': 0.3492, 'stable': 0.5697, 'parity': 0.6749, 'pos': 0.1182}}",minimax,minimax,51,64,61
"{'apertura': {'corner': 0.1084, 'mob': 0.3163, 'stable': 0.7244, 'parity': 0.9389, 'pos': 0.041}, 'medio': {'corner': 0.2981, 'mob': 0.6523, 'stable': 0.1597, 'parity': 0.7472, 'pos': 0.3137}, 'final': {'corner': 0.6541, 'mob': 0.3262, 'stable': 0.4779, 'parity': 0.8648, 'pos': 0.7187}}",minimax,minimax,45,64,60
"{'apertura': {'corner': 0.55, 'mob': 0.9891, 'stable': 0.5574, 'parity': 0.0797, 'pos': 0.6529}, 'medio': {'corner': 0.068, 'mob': 0.6898, 'stable': 0.9454, 'parity': 0.9164, 'pos': 0.1081}, 'final': {'corner': 0.4801, 'mob': 0.0406, 'stable': 0.2272, 'parity': 0.3541, 'pos': 0.5966}}",minimax,minimax,56,60,58
"{'apertura': {'corner': 0.8369, 'mob': 0.2141, 'stable': 0.4918, 'parity': 0.0522, 'pos': 0.5375}, 'medio': {'corner': 0.7466, 'mob': 0.4789, 'stable': 0.0489, 'parity': 0.0527, 'pos': 0.9295}, 'final': {'corner': 0.7616, 'mob': 0.023, 'stable': 0.1983, 'parity': 0.7184, 'pos': 0.4073}}",minimax,minimax,38,64,60
