opponent,winner,points,Total_points,turns,total_nodes_expanded,total_search_depth,total_running_time,total_max_ram_usage
weights_1,heuristic_5,52,63,30,39.40,1.10,1.02,0.56
weights_2,heuristic_5,34,64,30,36.97,1.00,1.02,0.56
heuristic_1,heuristic_5,45,64,30,40.00,1.23,1.02,0.53
heuristic_2,heuristic_2,31,64,30,31.70,1.47,1.01,0.50
heuristic_3,heuristic_3,26,63,29,36.93,1.45,1.02,0.50
heuristic_4,heuristic_5,50,60,30,31.70,1.03,1.02,0.57
greedy,heuristic_5,44,63,30,40.90,1.20,1.02,0.55
minimax_base,minimax_base,30,63,30,38.43,1.27,1.02,0.56
random,heuristic_5,44,61,30,36.03,1.13,1.02,0.52
bad_player,bad_player,29,63,30,30.07,1.10,1.02,0.49
time_3,heuristic_5,46,61,30,32.30,0.93,1.02,0.54
time_10,time_10,27,64,30,37.00,1.77,1.02,0.58
